							Drilling Data									
							Noblige-1									



DEPTH	TVD	ROP_AVG	WOB_AVG	TORQUE_AVG	TORQUE_MIN	TORQUE_MAX	BIT_RPM	FLOWIN	FLOWOUT	PUMP_AVG	MWIN	MWOUT	MTIN	MTOUT	PITTOT	TBR
mMDRT	mTVDRT	m/hr	klbs	kft.lb	kft.lb	kft.lb	rpm	gal/min	gal/min	psi	sg	sg	degC	degC	bbls	

1496	1495.98	68.9	2.5	1.1	0.7	2.2	185	1143	0	2184	1.03	1.03	26.8	28.7	-999.25	32432
1497	1496.98	102.1	2	1.2	0.7	2.1	185	1142	0	2180	1.03	1.03	26.9	28.7	-999.25	32527
1498	1497.98	117.9	1	1.3	0.5	2.3	185	1143	0	2187	1.03	1.03	26.9	28.7	-999.25	32629
1499	1498.98	132.7	2.9	1	0	2.3	185	1142	0	2182	1.03	1.03	26.8	28.7	-999.25	32709
1500	1499.98	46.1	1.2	0.8	0.1	2	186	1149	0	2076	1.03	1.03	26.8	28.7	-999.25	33006
1501	1500.98	38.5	2	1.1	0.5	2	185	1145	0	2150	1.03	1.03	26.8	28.7	-999.25	33328
1502	1501.98	101.9	3.8	1.3	1.1	2.2	185	1143	0	2164	1.03	1.03	26.8	28.7	-999.25	33435
1503	1502.98	101.5	2.5	0.9	0	2.4	187	1156	0	1646	1.03	1.03	26.8	28.7	-999.25	33559
1504	1503.98	41.3	4.3	1.5	0.9	2.6	186	1161	0	1719	1.03	1.03	26.9	28.7	-999.25	33931
1505	1504.98	90.5	6.7	1.2	0	2.3	187	1160	0	1805	1.03	1.03	26.9	28.7	-999.25	34074
1506	1505.98	49.1	1.3	1.1	0.4	2.1	186	1152	0	2019	1.03	1.03	26.8	28.7	-999.25	34282
1507	1506.98	133.3	5.1	1.4	1.1	2.3	185	1148	0	2095	1.03	1.03	26.9	28.7	-999.25	34375
1508	1507.98	69.4	2	0.8	0	2.2	186	1147	0	2099	1.03	1.03	26.8	28.7	-999.25	34529
1509	1508.98	63.2	1.9	0.8	0	2.2	186	1145	0	2095	1.03	1.03	26.8	28.7	-999.25	34705
1510	1509.98	114.1	1.4	1.2	0.8	2.1	185	1143	0	2151	1.03	1.03	26.8	28.7	-999.25	34801
1511	1510.98	76.1	1.7	0.9	0	2.3	185	1143	0	2138	1.03	1.03	26.8	28.7	-999.25	34949
1512	1511.98	130.5	3.3	1.3	0	4	184	1144	0	2231	1.03	1.03	26.8	28.7	-999.25	35044
1513	1512.98	94	3.3	0.8	0	2.4	185	1143	0	2136	1.03	1.03	26.9	28.7	-999.25	35179
1514	1513.98	96	2.8	1.1	0.6	2.1	185	1140	0	2249	1.03	1.03	26.9	28.7	-999.25	35296
1515	1514.98	68.9	2.7	0.9	0.1	2.1	185	1137	0	2284	1.03	1.03	26.7	28.7	-999.25	35459
1516	1515.98	49.5	6.5	1	0.2	2.2	186	1150	0	2172	1.03	1.03	26.6	28.7	-999.25	35772
1517	1516.98	57.5	5.7	0.9	0.1	2.5	186	1150	0	2196	1.03	1.03	26.6	28.7	-999.25	35979
1518	1517.98	70.4	6.7	1.1	0.7	2.3	185	1149	0	2215	1.03	1.03	26.6	28.7	-999.25	36137
1519	1518.98	105.8	7.5	1.3	1	2.3	185	1149	0	2212	1.03	1.03	26.7	28.7	-999.25	36254
1520	1519.98	83	9.5	1.3	0.6	2.7	185	1149	0	2231	1.03	1.03	26.6	28.7	-999.25	36398
1521	1520.98	90.3	7.8	1.3	0.9	2.4	185	1148	0	2237	1.03	1.03	26.8	28.7	-999.25	36521
1522	1521.98	105.6	9.3	1.3	1	2.5	185	1148	0	2230	1.03	1.03	26.9	28.7	-999.25	36629
1523	1522.98	76.8	8.8	1.4	0.4	4.6	220	1148	0	2216	1.03	1.03	26.8	28.7	-999.25	36804
1524	1523.98	82.9	9.7	1.6	1.4	3.1	233	1148	0	2215	1.03	1.03	26.8	28.7	-999.25	36955
1525	1524.98	82.4	7.2	1.5	1.3	2.7	234	1148	0	2207	1.03	1.03	26.8	28.7	-999.25	37134
1526	1525.98	85.4	8.6	1.6	1.2	2.9	234	1148	0	2214	1.03	1.03	26.8	28.7	-999.25	37302
1527	1526.98	63.3	7.2	1.3	1	2.7	235	1149	0	2198	1.03	1.03	26.9	28.7	-999.25	37551
1528	1527.98	66.5	8.5	1.6	1.4	2.7	235	1154	0	2124	1.03	1.03	26.9	28.7	-999.25	37763
1529	1528.98	76.5	9	1.6	1.4	2.7	235	1155	0	2152	1.03	1.03	26.8	28.7	-999.25	37966
1530	1529.98	53.8	5.9	1.4	1.1	2.9	236	1154	0	2154	1.03	1.03	26.8	28.7	-999.25	38260
1531	1530.98	56.9	6.8	1.6	1.3	2.6	235	1153	0	2154	1.03	1.03	26.9	28.7	-999.25	38511
1532	1531.98	84.9	10.6	1.8	1.5	2.9	235	1158	0	1700	1.03	1.03	26.8	28.7	-999.25	38672
1533	1532.98	67.9	10.3	1.5	1.2	2.9	237	1170	0	1709	1.03	1.03	26.9	28.7	-999.25	38904
1534	1533.98	67.1	10.7	1.6	1.4	2.7	237	1170	0	1707	1.03	1.03	26.9	28.7	-999.25	39094
